id,sourceTitle,pageTitle,sourceUrl,dynastyOrDate,topic,expectedLayer,citationFormat,licenseNote,notes
ht-seed-036,明实录公开文本入口,土木堡 page list 001,https://zh.wikisource.org/wiki/明實錄,正统,土木堡,S,明实录公开文本入口：土木堡 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-037,明实录公开文本入口,土木堡 page list 002,https://zh.wikisource.org/wiki/明實錄,正统,土木堡,S,明实录公开文本入口：土木堡 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-038,明实录公开文本入口,土木堡 page list 003,https://zh.wikisource.org/wiki/明實錄,正统,土木堡,S,明实录公开文本入口：土木堡 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-039,明实录公开文本入口,土木堡 page list 004,https://zh.wikisource.org/wiki/明實錄,正统,土木堡,S,明实录公开文本入口：土木堡 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-040,明实录公开文本入口,土木堡 page list 005,https://zh.wikisource.org/wiki/明實錄,正统,土木堡,S,明实录公开文本入口：土木堡 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-041,明实录公开文本入口,土木堡 page list 006,https://zh.wikisource.org/wiki/明實錄,正统,土木堡,S,明实录公开文本入口：土木堡 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-042,明实录公开文本入口,土木堡 page list 007,https://zh.wikisource.org/wiki/明實錄,正统,土木堡,S,明实录公开文本入口：土木堡 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-043,明实录公开文本入口,嘉靖海防与倭寇 page list 001,https://zh.wikisource.org/wiki/明實錄,嘉靖,嘉靖海防与倭寇,S,明实录公开文本入口：嘉靖海防与倭寇 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-044,明实录公开文本入口,嘉靖海防与倭寇 page list 002,https://zh.wikisource.org/wiki/明實錄,嘉靖,嘉靖海防与倭寇,S,明实录公开文本入口：嘉靖海防与倭寇 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-045,明实录公开文本入口,嘉靖海防与倭寇 page list 003,https://zh.wikisource.org/wiki/明實錄,嘉靖,嘉靖海防与倭寇,S,明实录公开文本入口：嘉靖海防与倭寇 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-046,明实录公开文本入口,嘉靖海防与倭寇 page list 004,https://zh.wikisource.org/wiki/明實錄,嘉靖,嘉靖海防与倭寇,S,明实录公开文本入口：嘉靖海防与倭寇 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-047,明实录公开文本入口,嘉靖海防与倭寇 page list 005,https://zh.wikisource.org/wiki/明實錄,嘉靖,嘉靖海防与倭寇,S,明实录公开文本入口：嘉靖海防与倭寇 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-048,明实录公开文本入口,嘉靖海防与倭寇 page list 006,https://zh.wikisource.org/wiki/明實錄,嘉靖,嘉靖海防与倭寇,S,明实录公开文本入口：嘉靖海防与倭寇 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-049,明实录公开文本入口,嘉靖海防与倭寇 page list 007,https://zh.wikisource.org/wiki/明實錄,嘉靖,嘉靖海防与倭寇,S,明实录公开文本入口：嘉靖海防与倭寇 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-050,明实录公开文本入口,隆庆开关 page list 001,https://zh.wikisource.org/wiki/明實錄,隆庆,隆庆开关,S,明实录公开文本入口：隆庆开关 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-051,明实录公开文本入口,隆庆开关 page list 002,https://zh.wikisource.org/wiki/明實錄,隆庆,隆庆开关,S,明实录公开文本入口：隆庆开关 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-052,明实录公开文本入口,隆庆开关 page list 003,https://zh.wikisource.org/wiki/明實錄,隆庆,隆庆开关,S,明实录公开文本入口：隆庆开关 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-053,明实录公开文本入口,隆庆开关 page list 004,https://zh.wikisource.org/wiki/明實錄,隆庆,隆庆开关,S,明实录公开文本入口：隆庆开关 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-054,明实录公开文本入口,隆庆开关 page list 005,https://zh.wikisource.org/wiki/明實錄,隆庆,隆庆开关,S,明实录公开文本入口：隆庆开关 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-055,明实录公开文本入口,隆庆开关 page list 006,https://zh.wikisource.org/wiki/明實錄,隆庆,隆庆开关,S,明实录公开文本入口：隆庆开关 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-056,明实录公开文本入口,隆庆开关 page list 007,https://zh.wikisource.org/wiki/明實錄,隆庆,隆庆开关,S,明实录公开文本入口：隆庆开关 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-057,明实录公开文本入口,万历三大征 page list 001,https://zh.wikisource.org/wiki/明實錄,万历,万历三大征,S,明实录公开文本入口：万历三大征 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-058,明实录公开文本入口,万历三大征 page list 002,https://zh.wikisource.org/wiki/明實錄,万历,万历三大征,S,明实录公开文本入口：万历三大征 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-059,明实录公开文本入口,万历三大征 page list 003,https://zh.wikisource.org/wiki/明實錄,万历,万历三大征,S,明实录公开文本入口：万历三大征 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-060,明实录公开文本入口,万历三大征 page list 004,https://zh.wikisource.org/wiki/明實錄,万历,万历三大征,S,明实录公开文本入口：万历三大征 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-061,明实录公开文本入口,万历三大征 page list 005,https://zh.wikisource.org/wiki/明實錄,万历,万历三大征,S,明实录公开文本入口：万历三大征 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-062,明实录公开文本入口,万历三大征 page list 006,https://zh.wikisource.org/wiki/明實錄,万历,万历三大征,S,明实录公开文本入口：万历三大征 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-063,明实录公开文本入口,万历三大征 page list 007,https://zh.wikisource.org/wiki/明實錄,万历,万历三大征,S,明实录公开文本入口：万历三大征 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-064,明实录公开文本入口,辽东战事 page list 001,https://zh.wikisource.org/wiki/明實錄,万历至崇祯,辽东战事,S,明实录公开文本入口：辽东战事 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-065,明实录公开文本入口,辽东战事 page list 002,https://zh.wikisource.org/wiki/明實錄,万历至崇祯,辽东战事,S,明实录公开文本入口：辽东战事 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-066,明实录公开文本入口,辽东战事 page list 003,https://zh.wikisource.org/wiki/明實錄,万历至崇祯,辽东战事,S,明实录公开文本入口：辽东战事 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-067,明实录公开文本入口,辽东战事 page list 004,https://zh.wikisource.org/wiki/明實錄,万历至崇祯,辽东战事,S,明实录公开文本入口：辽东战事 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-068,明实录公开文本入口,辽东战事 page list 005,https://zh.wikisource.org/wiki/明實錄,万历至崇祯,辽东战事,S,明实录公开文本入口：辽东战事 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-069,明实录公开文本入口,辽东战事 page list 006,https://zh.wikisource.org/wiki/明實錄,万历至崇祯,辽东战事,S,明实录公开文本入口：辽东战事 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-070,明实录公开文本入口,辽东战事 page list 007,https://zh.wikisource.org/wiki/明實錄,万历至崇祯,辽东战事,S,明实录公开文本入口：辽东战事 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-071,明实录公开文本入口,明末财政 page list 001,https://zh.wikisource.org/wiki/明實錄,晚明,明末财政,S,明实录公开文本入口：明末财政 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-072,明实录公开文本入口,明末财政 page list 002,https://zh.wikisource.org/wiki/明實錄,晚明,明末财政,S,明实录公开文本入口：明末财政 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-073,明实录公开文本入口,明末财政 page list 003,https://zh.wikisource.org/wiki/明實錄,晚明,明末财政,S,明实录公开文本入口：明末财政 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-074,明实录公开文本入口,明末财政 page list 004,https://zh.wikisource.org/wiki/明實錄,晚明,明末财政,S,明实录公开文本入口：明末财政 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-075,明实录公开文本入口,明末财政 page list 005,https://zh.wikisource.org/wiki/明實錄,晚明,明末财政,S,明实录公开文本入口：明末财政 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-076,明实录公开文本入口,明末财政 page list 006,https://zh.wikisource.org/wiki/明實錄,晚明,明末财政,S,明实录公开文本入口：明末财政 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-077,明实录公开文本入口,明末财政 page list 007,https://zh.wikisource.org/wiki/明實錄,晚明,明末财政,S,明实录公开文本入口：明末财政 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-078,明实录公开文本入口,明末灾荒 page list 001,https://zh.wikisource.org/wiki/明實錄,晚明,明末灾荒,S,明实录公开文本入口：明末灾荒 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-079,明实录公开文本入口,明末灾荒 page list 002,https://zh.wikisource.org/wiki/明實錄,晚明,明末灾荒,S,明实录公开文本入口：明末灾荒 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-080,明实录公开文本入口,明末灾荒 page list 003,https://zh.wikisource.org/wiki/明實錄,晚明,明末灾荒,S,明实录公开文本入口：明末灾荒 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-081,明实录公开文本入口,明末灾荒 page list 004,https://zh.wikisource.org/wiki/明實錄,晚明,明末灾荒,S,明实录公开文本入口：明末灾荒 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-082,明实录公开文本入口,明末灾荒 page list 005,https://zh.wikisource.org/wiki/明實錄,晚明,明末灾荒,S,明实录公开文本入口：明末灾荒 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-083,明实录公开文本入口,明末灾荒 page list 006,https://zh.wikisource.org/wiki/明實錄,晚明,明末灾荒,S,明实录公开文本入口：明末灾荒 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-084,明实录公开文本入口,明末灾荒 page list 007,https://zh.wikisource.org/wiki/明實錄,晚明,明末灾荒,S,明实录公开文本入口：明末灾荒 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-085,明实录公开文本入口,明代火器 page list 001,https://zh.wikisource.org/wiki/明實錄,明代,明代火器,S,明实录公开文本入口：明代火器 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-086,明实录公开文本入口,明代火器 page list 002,https://zh.wikisource.org/wiki/明實錄,明代,明代火器,S,明实录公开文本入口：明代火器 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-087,明实录公开文本入口,明代火器 page list 003,https://zh.wikisource.org/wiki/明實錄,明代,明代火器,S,明实录公开文本入口：明代火器 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-088,明实录公开文本入口,明代火器 page list 004,https://zh.wikisource.org/wiki/明實錄,明代,明代火器,S,明实录公开文本入口：明代火器 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-089,明实录公开文本入口,明代火器 page list 005,https://zh.wikisource.org/wiki/明實錄,明代,明代火器,S,明实录公开文本入口：明代火器 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-090,明实录公开文本入口,明代火器 page list 006,https://zh.wikisource.org/wiki/明實錄,明代,明代火器,S,明实录公开文本入口：明代火器 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-091,明实录公开文本入口,明代火器 page list 007,https://zh.wikisource.org/wiki/明實錄,明代,明代火器,S,明实录公开文本入口：明代火器 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-092,明实录公开文本入口,明代卫所 page list 001,https://zh.wikisource.org/wiki/明實錄,明代,明代卫所,S,明实录公开文本入口：明代卫所 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-093,明实录公开文本入口,明代卫所 page list 002,https://zh.wikisource.org/wiki/明實錄,明代,明代卫所,S,明实录公开文本入口：明代卫所 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-094,明实录公开文本入口,明代卫所 page list 003,https://zh.wikisource.org/wiki/明實錄,明代,明代卫所,S,明实录公开文本入口：明代卫所 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-095,明实录公开文本入口,明代卫所 page list 004,https://zh.wikisource.org/wiki/明實錄,明代,明代卫所,S,明实录公开文本入口：明代卫所 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-096,明实录公开文本入口,明代卫所 page list 005,https://zh.wikisource.org/wiki/明實錄,明代,明代卫所,S,明实录公开文本入口：明代卫所 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-097,明实录公开文本入口,明代卫所 page list 006,https://zh.wikisource.org/wiki/明實錄,明代,明代卫所,S,明实录公开文本入口：明代卫所 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-098,明实录公开文本入口,明代卫所 page list 007,https://zh.wikisource.org/wiki/明實錄,明代,明代卫所,S,明实录公开文本入口：明代卫所 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-099,明实录公开文本入口,明代漕运 page list 001,https://zh.wikisource.org/wiki/明實錄,明代,明代漕运,S,明实录公开文本入口：明代漕运 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-100,明实录公开文本入口,明代漕运 page list 002,https://zh.wikisource.org/wiki/明實錄,明代,明代漕运,S,明实录公开文本入口：明代漕运 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-101,明实录公开文本入口,明代漕运 page list 003,https://zh.wikisource.org/wiki/明實錄,明代,明代漕运,S,明实录公开文本入口：明代漕运 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-102,明实录公开文本入口,明代漕运 page list 004,https://zh.wikisource.org/wiki/明實錄,明代,明代漕运,S,明实录公开文本入口：明代漕运 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-103,明实录公开文本入口,明代漕运 page list 005,https://zh.wikisource.org/wiki/明實錄,明代,明代漕运,S,明实录公开文本入口：明代漕运 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-104,明实录公开文本入口,明代漕运 page list 006,https://zh.wikisource.org/wiki/明實錄,明代,明代漕运,S,明实录公开文本入口：明代漕运 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-105,明实录公开文本入口,明代漕运 page list 007,https://zh.wikisource.org/wiki/明實錄,明代,明代漕运,S,明实录公开文本入口：明代漕运 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-106,明实录公开文本入口,明代城市商业 page list 001,https://zh.wikisource.org/wiki/明實錄,晚明,明代城市商业,S,明实录公开文本入口：明代城市商业 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-107,明实录公开文本入口,明代城市商业 page list 002,https://zh.wikisource.org/wiki/明實錄,晚明,明代城市商业,S,明实录公开文本入口：明代城市商业 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-108,明实录公开文本入口,明代城市商业 page list 003,https://zh.wikisource.org/wiki/明實錄,晚明,明代城市商业,S,明实录公开文本入口：明代城市商业 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-109,明实录公开文本入口,明代城市商业 page list 004,https://zh.wikisource.org/wiki/明實錄,晚明,明代城市商业,S,明实录公开文本入口：明代城市商业 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-110,明实录公开文本入口,明代城市商业 page list 005,https://zh.wikisource.org/wiki/明實錄,晚明,明代城市商业,S,明实录公开文本入口：明代城市商业 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-111,明实录公开文本入口,明代城市商业 page list 006,https://zh.wikisource.org/wiki/明實錄,晚明,明代城市商业,S,明实录公开文本入口：明代城市商业 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-112,明实录公开文本入口,明代城市商业 page list 007,https://zh.wikisource.org/wiki/明實錄,晚明,明代城市商业,S,明实录公开文本入口：明代城市商业 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-113,明实录公开文本入口,明代出版文化 page list 001,https://zh.wikisource.org/wiki/明實錄,晚明,明代出版文化,S,明实录公开文本入口：明代出版文化 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-114,明实录公开文本入口,明代出版文化 page list 002,https://zh.wikisource.org/wiki/明實錄,晚明,明代出版文化,S,明实录公开文本入口：明代出版文化 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-115,明实录公开文本入口,明代出版文化 page list 003,https://zh.wikisource.org/wiki/明實錄,晚明,明代出版文化,S,明实录公开文本入口：明代出版文化 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-116,明实录公开文本入口,明代出版文化 page list 004,https://zh.wikisource.org/wiki/明實錄,晚明,明代出版文化,S,明实录公开文本入口：明代出版文化 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-117,明实录公开文本入口,明代出版文化 page list 005,https://zh.wikisource.org/wiki/明實錄,晚明,明代出版文化,S,明实录公开文本入口：明代出版文化 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-118,明实录公开文本入口,明代出版文化 page list 006,https://zh.wikisource.org/wiki/明實錄,晚明,明代出版文化,S,明实录公开文本入口：明代出版文化 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-119,明实录公开文本入口,明代出版文化 page list 007,https://zh.wikisource.org/wiki/明實錄,晚明,明代出版文化,S,明实录公开文本入口：明代出版文化 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
