id,title,claimText,topic,relatedPeriod,relatedPersons,relatedPlaces,sourcePlatform,sourceUrl,sourceTitle,sourceAuthor,rawSummary,extractedQuestions,defaultLayer,riskLevel,reviewStatus,notes
cc-seed-013,洪武废相是否必然导致明代专制失控,网络说法把废相直接解释为制度失控根源。,制度,洪武,朱元璋,,Website,https://example.org/seed/hongwu-chancellor,待核验文章,,仅记录待核验问题，不作为事实。,废相前后;内阁形成;行政流程,D/X,medium,pending_review,制度因果需证据链
cc-seed-014,靖难之役是否完全改变明代政治合法性,网络讨论称靖难后明代合法性体系彻底改变。,制度,建文至永乐,朱棣,,Forum,https://example.org/seed/jingnan-legitimacy,待核验论坛帖,,仅记录待核验问题，不作为事实。,诏令文本;宗室政治;史书叙事,D/X,medium,pending_review,需要多源对照
cc-seed-015,永乐迁都北京是否主要出于控制欧亚,网络说法把迁都解释为欧亚控制战略。,疆域,永乐,朱棣,北京,Website,https://example.org/seed/yongle-capital,待核验文章,,仅记录待核验问题，不作为事实。,迁都诏令;北边防务;交通财政,D/X,high,pending_review,现代地缘概念需谨慎
cc-seed-016,土木堡之变是否证明明军整体衰弱,网络说法以土木堡推导明军长期整体衰弱。,军力,正统,朱祁镇,土木堡,Bilibili,https://example.org/seed/tumu-military,待核验视频,,仅记录待核验问题，不作为事实。,战役过程;军制;后续恢复,D/X,medium,pending_review,个案不能直接概括全期
cc-seed-017,于谦北京保卫战作用是否被神化,网络讨论称于谦作用被过度神化或低估。,军力,景泰,于谦,北京,Website,https://example.org/seed/yuqian-beijing,待核验文章,,仅记录待核验问题，不作为事实。,兵部调度;城防;朝廷决策,D/X,medium,pending_review,需拆分个人和制度
cc-seed-018,成化犁庭是否被后世叙事低估,网络说法称成化年间边疆军事行动被低估。,军力,成化,,,Forum,https://example.org/seed/chenghua-border,待核验论坛帖,,仅记录待核验问题，不作为事实。,边防记录;军事目标;后续影响,D/X,medium,pending_review,需补边防史料
cc-seed-019,弘治中兴是否只是后世理想化标签,网络讨论称弘治中兴被过度理想化。,皇帝评价,弘治,朱祐樘,,Website,https://example.org/seed/hongzhi-revival,待核验文章,,仅记录待核验问题，不作为事实。,财政;吏治;灾荒;言官,D/X,low,pending_review,评价标签需指标化
cc-seed-020,正德荒唐叙事是否需要拆分,网络叙事以荒唐概括正德朝。,皇帝评价,正德,朱厚照,,ShortVideo,https://example.org/seed/zhengde-absurd,待核验短视频,,仅记录待核验问题，不作为事实。,个人行为;军事行动;制度运行,D/X,medium,pending_review,需拆分多个子问题
cc-seed-021,嘉靖是否长期怠政导致制度崩坏,网络说法把嘉靖不上朝和制度崩坏直接相连。,皇帝评价,嘉靖,朱厚熜,,Zhihu,https://example.org/seed/jiajing-governance,待核验问答,,仅记录待核验问题，不作为事实。,大礼议;内阁;财政;边防,D/X,medium,pending_review,需拆分朝政机制
cc-seed-022,隆庆开关是否说明明朝主动拥抱海洋贸易,网络文章把隆庆开关解释为全面海洋转向。,财政,隆庆,,,Website,https://example.org/seed/longqing-trade,待核验文章,,仅记录待核验问题，不作为事实。,海禁政策;月港;白银流入,D/X,medium,pending_review,政策范围需核验
cc-seed-023,万历三大征是否耗尽明朝财政,网络说法称三大征直接耗尽财政导致明亡。,财政,万历,,,Website,https://example.org/seed/wanli-campaigns,待核验文章,,仅记录待核验问题，不作为事实。,军费;税收;辽东;财政结构,D/X,medium,pending_review,需量化财政证据
cc-seed-024,东林党是否应为明亡主要责任者,网络争议常把明亡归因东林党。,制度,晚明,东林党,,Forum,https://example.org/seed/donglin-collapse,待核验论坛帖,,仅记录待核验问题，不作为事实。,党争;财政;军事;灾荒,D/X,medium,pending_review,政治标签需降权
cc-seed-025,魏忠贤是否被清代叙事过度妖魔化,网络说法称魏忠贤评价被清修史书扭曲。,争议事件,天启,魏忠贤,,Website,https://example.org/seed/wei-zhongxian,待核验文章,,仅记录待核验问题，不作为事实。,实录;奏疏;党争材料,D/X,medium,pending_review,不能以翻案文章作证据
cc-seed-026,张居正改革是否延缓还是加速明亡,网络讨论对张居正改革影响高度分歧。,财政,万历,张居正,,Zhihu,https://example.org/seed/zhang-juzheng,待核验问答,,仅记录待核验问题，不作为事实。,一条鞭法;考成法;财政数据,D/X,medium,pending_review,需拆成政策指标
cc-seed-027,一条鞭法是否造成白银依赖危机,网络文章称一条鞭法导致白银依赖并引发危机。,财政,晚明,,,Website,https://example.org/seed/silver-tax,待核验文章,,仅记录待核验问题，不作为事实。,税制;白银流通;物价,D/X,medium,pending_review,经济因果需谨慎
cc-seed-028,明末小冰期是否是明亡主因,网络说法以气候解释明亡。,民生,晚明,,,Website,https://example.org/seed/little-ice-age,待核验文章,,仅记录待核验问题，不作为事实。,灾荒记录;财政;起义;气候研究,D/X,medium,pending_review,自然因素不能单因化
cc-seed-029,李自成起义是否主要由财政制度导致,网络讨论称财政制度直接导致李自成起义。,民生,崇祯,李自成,,Forum,https://example.org/seed/li-zicheng-fiscal,待核验论坛帖,,仅记录待核验问题，不作为事实。,驿站裁撤;灾荒;地方财政,D/X,medium,pending_review,需地方材料
cc-seed-030,辽东战事是否是明亡决定性因素,网络说法称辽东战事单独决定明亡。,军力,晚明,,辽东,Website,https://example.org/seed/liaodong-war,待核验文章,,仅记录待核验问题，不作为事实。,军费;后金;关内起义,D/X,medium,pending_review,需要多变量框架
cc-seed-031,努尔哈赤崛起是否主要源于明朝边政失误,网络说法把后金崛起归因于明朝边政。,外交,万历至天启,努尔哈赤,辽东,Website,https://example.org/seed/nurhaci-border,待核验文章,,仅记录待核验问题，不作为事实。,女真政策;贸易;军事,D/X,medium,pending_review,需对照后金材料
cc-seed-032,明代海禁是否完全扼杀海外贸易,网络说法称海禁让明朝失去海洋贸易能力。,财政,明代,,,Bilibili,https://example.org/seed/haijin-trade,待核验视频,,仅记录待核验问题，不作为事实。,海禁制度;走私;朝贡贸易,D/X,medium,pending_review,完全扼杀表述需降权
cc-seed-033,倭寇问题是否主要由日本因素造成,网络讨论对倭寇成因存在单因归责。,外交,嘉靖,,,Website,https://example.org/seed/wokou-cause,待核验文章,,仅记录待核验问题，不作为事实。,海商;日本;地方治理,D/X,medium,pending_review,需区分真倭假倭
cc-seed-034,戚继光抗倭战绩是否被夸大,网络争议称戚继光战绩被过度神化。,军力,嘉靖,戚继光,,Forum,https://example.org/seed/qi-jiguang,待核验论坛帖,,仅记录待核验问题，不作为事实。,战报;兵制;地方协同,D/X,medium,pending_review,需核对战役记录
cc-seed-035,明代卫所制度是否早期即失效,网络说法称卫所制度从早期就无效。,军力,明代,,,Website,https://example.org/seed/weisuo,待核验文章,,仅记录待核验问题，不作为事实。,军户;屯田;募兵,D/X,medium,pending_review,需分阶段
cc-seed-036,明代锦衣卫是否等同现代秘密警察,网络说法把锦衣卫类比现代秘密警察。,制度,明代,,,ShortVideo,https://example.org/seed/jinyiwei,待核验短视频,,仅记录待核验问题，不作为事实。,职能;司法;皇权,D/X,medium,pending_review,现代类比需谨慎
cc-seed-037,东厂西厂是否导致明代政治全面恐怖化,网络视频称厂卫造成全面恐怖政治。,制度,明代,,,Bilibili,https://example.org/seed/changwei,待核验视频,,仅记录待核验问题，不作为事实。,厂卫职能;案例;范围,D/X,medium,pending_review,全面化说法需证据
cc-seed-038,明代科举是否压制科学技术,网络文章称科举是明代科技停滞主因。,科技,明代,,,Website,https://example.org/seed/keju-science,待核验文章,,仅记录待核验问题，不作为事实。,教育;技术实践;出版,D/X,medium,pending_review,因果复杂
cc-seed-039,王阳明心学是否削弱实政能力,网络讨论称心学导致空谈误国。,文化,明代,王阳明,,Zhihu,https://example.org/seed/yangming,待核验问答,,仅记录待核验问题，不作为事实。,思想传播;官员实践;晚明政治,D/X,low,pending_review,思想归因需谨慎
cc-seed-040,明代出版文化是否带来近代公共舆论,网络说法称明代出版已形成近代公共舆论。,文化,晚明,,,Website,https://example.org/seed/publishing-public,待核验文章,,仅记录待核验问题，不作为事实。,出版量;读者;士人网络,D/X,low,pending_review,概念边界需明确
cc-seed-041,明代商业城市是否接近资本主义城市,网络文章称晚明城市已接近资本主义。,民生,晚明,,,Website,https://example.org/seed/ming-city-capitalism,待核验文章,,仅记录待核验问题，不作为事实。,商业组织;雇佣;市场,D/X,medium,pending_review,现代概念需定义
cc-seed-042,江南经济是否足以支持明朝工业化,网络说法称江南经济已接近工业化门槛。,财政,晚明,,,Website,https://example.org/seed/jiangnan-industry,待核验文章,,仅记录待核验问题，不作为事实。,手工业;市场;能源,D/X,medium,pending_review,工业化标准需说明
cc-seed-043,明代人口数字是否被严重低估,网络讨论称明代人口远高于传统估计。,民生,明代,,,Forum,https://example.org/seed/ming-population,待核验论坛帖,,仅记录待核验问题，不作为事实。,户籍;赋役;现代估算,D/X,medium,pending_review,数字需来源
cc-seed-044,明代白银流入是否说明全球金融中心在中国,网络说法称白银流入证明明朝是全球金融中心。,财政,晚明,,,Website,https://example.org/seed/silver-center,待核验文章,,仅记录待核验问题，不作为事实。,白银流向;贸易结构;金融制度,D/X,high,pending_review,中心概念需降权
cc-seed-045,明朝是否拥有近代意义民族国家结构,网络文章把明朝解释为近代民族国家。,制度,明代,,,Website,https://example.org/seed/nation-state,待核验文章,,仅记录待核验问题，不作为事实。,国家形态;身份;边疆,D/X,high,pending_review,概念错置风险
cc-seed-046,明代对西藏控制是否等同直接行政,网络争议称明朝对西藏实行直接行政控制。,疆域,明代,,西藏,Forum,https://example.org/seed/tibet-control,待核验论坛帖,,仅记录待核验问题，不作为事实。,册封;贡赐;行政机构,D/X,high,pending_review,控制类型必须分层
cc-seed-047,明代对东北控制是否覆盖整个外东北,网络说法称明朝直接控制整个外东北。,疆域,明代,,东北,Website,https://example.org/seed/northeast-control,待核验文章,,仅记录待核验问题，不作为事实。,卫所;羁縻;军事存在,D/X,high,pending_review,需地理数据与文献对照
cc-seed-048,奴儿干都司是否等于现代行政省,网络说法把奴儿干都司等同现代行政省。,疆域,永乐,,奴儿干都司,Bilibili,https://example.org/seed/nurgan,待核验视频,,仅记录待核验问题，不作为事实。,都司职能;控制方式;时间范围,D/X,high,pending_review,不能现代省制化
cc-seed-049,交趾布政司是否证明越南长期归属明朝,网络讨论称交趾布政司证明越南长期属于明朝。,疆域,永乐,,交趾,Website,https://example.org/seed/jiaozhi,待核验文章,,仅记录待核验问题，不作为事实。,行政持续时间;反抗;撤出,D/X,medium,pending_review,需时间限定
cc-seed-050,哈密卫是否说明明朝控制中亚,网络说法以哈密卫推导明朝控制中亚。,疆域,明代,,哈密,Forum,https://example.org/seed/hami,待核验论坛帖,,仅记录待核验问题，不作为事实。,卫所;朝贡;军事驻防,D/X,high,pending_review,需区分名义与实控
cc-seed-051,明代是否拥有完整工业军工体系,网络视频称明朝军工体系接近现代工业体系。,军力,明代,,,Bilibili,https://example.org/seed/military-industry,待核验视频,,仅记录待核验问题，不作为事实。,军器局;作坊;标准化,D/X,medium,pending_review,工业体系表述需降权
cc-seed-052,神机营是否代表世界最先进火器部队,网络说法称神机营为世界最先进火器部队。,军力,明代,,北京,ShortVideo,https://example.org/seed/shenjiying,待核验短视频,,仅记录待核验问题，不作为事实。,编制;装备;同时期比较,D/X,medium,pending_review,比较需要样本
cc-seed-053,明代水师是否长期保持东亚海上霸权,网络文章称明代水师长期控制东亚海域。,军力,明代,,,Website,https://example.org/seed/ming-navy,待核验文章,,仅记录待核验问题，不作为事实。,水师编制;海战;贸易航线,D/X,medium,pending_review,霸权定义需核验
cc-seed-054,郑成功是否可归入明朝海权延续,网络讨论把郑成功集团视为明朝海权延续。,外交,南明,郑成功,,Website,https://example.org/seed/zheng-chenggong,待核验文章,,仅记录待核验问题，不作为事实。,南明政权;海上贸易;军事组织,D/X,low,pending_review,需区分南明与明朝
cc-seed-055,南明是否仍应视为明朝正统延续,网络争议涉及南明正统性和史学定位。,制度,南明,,,Forum,https://example.org/seed/southern-ming,待核验论坛帖,,仅记录待核验问题，不作为事实。,政权承认;年号;制度延续,D/X,medium,pending_review,正统性需定义
cc-seed-056,明代宗藩制度是否导致财政崩溃,网络说法称宗藩供养直接拖垮财政。,财政,明代,,,Website,https://example.org/seed/princes-fiscal,待核验文章,,仅记录待核验问题，不作为事实。,宗藩支出;地方财政;改革,D/X,medium,pending_review,需财政量化
cc-seed-057,矿税是否是晚明社会矛盾主因,网络文章称矿税激化晚明社会矛盾并导致崩溃。,财政,万历,,,Website,https://example.org/seed/mining-tax,待核验文章,,仅记录待核验问题，不作为事实。,矿监税使;地方反应;财政需求,D/X,medium,pending_review,需地方案例
cc-seed-058,明代灾荒记载是否被后世夸大,网络说法称明末灾荒叙事被夸大用于解释明亡。,民生,晚明,,,Forum,https://example.org/seed/disaster-records,待核验论坛帖,,仅记录待核验问题，不作为事实。,地方志;气候研究;赈灾,D/X,medium,pending_review,需交叉验证
cc-seed-059,清军入关是否主要依赖明朝内部崩溃,网络讨论称清军胜利主要来自明朝内部崩溃而非军事能力。,军力,崇祯至顺治,,,Website,https://example.org/seed/qing-entry,待核验文章,,仅记录待核验问题，不作为事实。,山海关;李自成;八旗军事,D/X,medium,pending_review,需多方材料
cc-seed-060,明朝灭亡是否可归因于单一制度缺陷,网络总结常把明亡归于某个单一制度缺陷。,制度,晚明,,,Website,https://example.org/seed/single-cause-collapse,待核验文章,,仅记录待核验问题，不作为事实。,财政;军事;气候;政治,D/X,medium,pending_review,总括性主张必须拆解
